Year,Blacktip shark,Blacktip shark,Dusky shark,Dusky shark,Sandbar shark,Sandbar shark,Large coastal sharks,Large coastal sharks,Large oceanic sharks,Large oceanic sharks,Atlantic sharpnose shark,Atlantic sharpnose shark,Small coastal sharks,Small coastal sharks,Yellowfin tuna,Yellowfin tuna,Bluefin tuna,Bluefin tuna,Other tunas,Other tunas,Billfish,Billfish,Swordfish,Swordfish,Pelagic coastal piscivores,Pelagic coastal piscivores,Amberjack,Amberjack,Cobia,Cobia,King mackerel (0-1yr),King mackerel (1+yr),King mackerel (1+yr),Spanish mackerel (0-1yr),Spanish mackerel (1+yr),Spanish mackerel (1+yr),,Skates-rays,Skates-rays,Gag grouper (0-3yr),Gag grouper (3+yr),Gag grouper (3+yr),Red grouper (0-3yr),Red grouper (3+yr),Red grouper (3+yr),Yellowedge grouper (0-3yr),Yellowedge grouper (3+yr),Yellowedge grouper (3+yr),Goliath grouper,Goliath grouper,Deep-water grouper,Shallow-water grouper,Shallow-water grouper,Red snapper (0yr),Red snapper (1-2yr),Red snapper (1-2yr),Red snapper (3+yr),Red snapper (3+yr),Vermilion snapper,Vermilion snapper,Mutton snapper,Mutton snapper,Other snapper,Other snapper,Inshore coastal piscivores,Sea trout,Sea trout,Oceanic piscivores,Oceanic piscivores,Benthic piscivores,Benthic piscivores,Reef piscivores,Reef piscivores,Reef invertebrate feeders,Reef invertebrate feeders,Demersal coastal invertebrate feeders,Demersal coastal invertebrate feeders,Red drum,Red drum,Benthic coastal invertebrate feeders,Benthic coastal invertebrate feeders,Tilefish,Tilefish,Gray triggerfish,Gray triggerfish,Coastal omnivores,Coastal omnivores,Reef omnivores,Surface pelagics,Sardine-herring-scad,Sardine-herring-scad,Menhaden (0yr),Menhaden (1yr),Menhaden (1yr),Menhaden (2yr),Menhaden (2yr),Menhaden (3yr),Menhaden (3yr),Menhaden (4yr),Menhaden (4yr),Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,Pink shrimp,Pink shrimp,Brown shrimp,Brown shrimp,White shrimp,White shrimp,Crab,Crab,Mobile epifauna,Mobile epifauna
1987,1.042,0.00291,1.539,0.00036,1.575,0.0001,1.003,0.00068,1.31,5.80E-05,1.229,0.00227,1.206,6.70E-05,,0.0135,,0.000585,,0.000952,,0.000652,,0.00224,0.00252,0.0172,1.453,0.0103,0.765,0.00251,0.347,0.766,0.00515,0.696,0.864,0.00818,0.99513382,0.00051,0.00459,0.871,0.858,0.00431,0.937,0.967,0.0122,1.181,0.974,0.00176,0.164,0.000221,0.000665,,0.006,0.356,0.484,0.000472,0.483,0.0104,1.316,0.00425,1.002,0.00239,0.00664,0.00296,0.0273,0.0459,0.0149,0.000478,0.000598,0.00104,0.0461,0.000945,0.00301,0.017,0.042,0.0568,0.0291,,0.0205,0.00057,0.0534,1.361,0.000786,1.453,0.00153,0.00133,0.028,4.40E-05,0.000401,0.0153,0.0081,,1.207,1.46,0.998,1.175,1.54,0.273,0.75,0.0285,0.00572,0.0386,0.0164,0.0107,0.739,0.0148,0.65,0.135,0.54,0.0782,0.0143,0.115,0.0135,0.0331
1988,1.034,0.00584,1.504,0.000258,1.505,0.00022,0.997,0.00136,1.29,0.000204,1.148,0.00426,1.061,9.20E-05,,0.0252,,0.000443,,0.000718,,0.000397,,0.00334,0.00231,0.019,1.134,0.00715,0.736,0.00294,0.81,0.739,0.00616,0.809,0.757,0.00675,0.821167883,0.000693,0.00288,0.498,0.95,0.00519,0.933,0.964,0.0122,0.988,0.937,0.00241,0.0847,0.000209,0.0008,,0.00618,0.55,0.44,0.000944,0.457,0.0116,1.261,0.00506,0.933,0.00194,0.00839,0.00201,0.0214,0.0403,0.011,0.000338,0.00277,0.00184,0.0419,0.00055,0.00111,0.0211,0.0379,0.0505,,,0.0124,0.000682,0.0585,1.223,0.00139,1.544,0.00449,0.00156,0.0285,6.10E-05,0.000742,0.0143,0.00921,,0.677,0.752,1.055,1.171,0.702,0.117,1.037,0.0371,0.00381,0.0414,0.00678,0.00996,0.859,0.013,0.532,0.119,0.518,0.0661,0.0134,0.116,0.0203,0.0326
1989,1.026,0.00575,1.451,0.00014,1.404,5.20E-05,0.991,0.000229,1.26,0.0001,1.115,0.00237,1.045,0.000426,,0.0185,,0.000202,,0.000467,,0.000445,,0.00338,0.00185,0.0199,1.018,0.00883,0.673,0.00281,1.137,0.698,0.00699,1.313,0.744,0.007,0.851581509,0.00125,0.00447,0.497,0.88,0.00466,0.933,0.952,0.021,0.86,0.876,0.00113,0.0424,0.00014,0.000537,,0.00536,1.264,0.404,0.000604,0.412,0.00952,1.203,0.00373,0.886,0.00175,0.00721,0.00298,0.02,0.0378,0.0361,0.000312,0.00866,0.00119,0.0639,0.000279,0.00373,0.0265,0.0578,0.0403,0.0201,,0.0167,0.000393,0.084,0.975,0.000665,1.506,0.00525,0.00144,0.0406,0.000106,0.000751,0.022,0.00546,,0.752,0.976,0.613,0.756,0.842,0.157,0.619,0.0247,0.00647,0.0435,0.0101,0.0202,0.764,0.0124,0.441,0.138,0.487,0.0535,0.0185,0.0815,0.0203,0.0366
1990,1.018,0.00318,1.399,0.000206,1.298,1.70E-05,0.991,0.000232,1.24,3.40E-05,1.117,0.00188,0.975,0.000136,,0.0117,,0.000321,,0.00063,,0.000287,,0.00163,0.00229,0.0238,0.786,0.0027,0.856,0.00206,1.332,0.666,0.00528,1.294,0.822,0.00702,0.854014599,0.00146,0.00436,0.624,0.839,0.00463,0.933,0.784,0.00968,0.855,0.869,0.00128,0.0238,1.50E-05,0.000991,,0.003,0.917,0.805,0.000761,0.366,0.00633,1.175,0.00513,0.872,0.0013,0.0101,0.00252,0.021,0.0241,0.0309,0.000286,0.0137,0.00146,0.0613,0.00123,0.00307,0.0207,0.045,0.0268,0.0173,,0.0119,0.000394,0.0627,0.878,0.000526,1.416,0.00764,0.00136,0.0393,1.90E-05,0.000655,0.0129,0.00876,,0.827,0.936,0.637,0.717,0.385,0.0651,0.535,0.0194,0.00404,0.0454,0.0208,0.0122,0.71,0.0107,0.545,0.151,0.644,0.0647,0.00764,0.0855,0.0149,0.0276
1991,1.01,0.00345,1.346,0.00016,1.203,0.00126,0.985,0.000347,1.21,0.000112,1.112,0.00128,0.927,4.60E-05,,0.00832,,0.000383,,0.00112,,0.000339,,0.00235,0.00156,0.0279,1.006,0.00795,1.096,0.00258,0.99,0.689,0.00776,1.456,0.891,0.0085,1.03406326,0.000757,0.00833,0.97,0.756,0.00456,0.932,0.785,0.0104,0.897,0.855,0.00114,0.0662,1.00E-06,0.000607,,0.00269,1.172,1.076,0.00167,0.381,0.00606,1.137,0.00517,0.894,0.0019,0.0112,0.00372,0.0192,0.0369,0.0342,0.000311,0.0133,0.00192,0.0627,0.000602,0.00359,0.0237,0.0582,0.0305,0.0549,,0.0156,0.000324,0.052,0.817,0.000313,1.252,0.00558,0.00168,0.0461,4.40E-05,0.00109,0.0163,0.00292,,0.65,0.793,0.743,0.879,0.494,0.0882,0.327,0.0125,0.00487,0.0435,0.00935,0.0125,0.698,0.00947,0.666,0.128,0.637,0.067,0.00389,0.0964,0.015,0.0289
1992,1.002,0.0037,1.294,0.000137,1.125,0.00101,0.985,0.00057,1.19,0.000209,1.104,0.00318,0.859,0.000185,,0.0137,,0.000251,,0.00118,,0.000216,,0.00224,0.000627,0.022,0.778,0.00521,1.161,0.00327,1.062,0.714,0.00902,0.589,0.975,0.0105,1.277372263,0.000729,0.00564,0.551,0.849,0.00464,0.931,0.777,0.0101,0.918,0.85,0.00153,0.175,,0.000496,,0.00219,0.8,0.976,0.00127,0.501,0.0103,1.103,0.00651,0.875,0.00254,0.00768,0.00281,0.0175,0.0288,0.0323,0.00025,0.00731,0.00149,0.0595,0.000685,0.00229,0.0244,0.0539,0.0261,0.0547,,0.0247,0.000649,0.0524,0.803,0.000311,1.147,0.00474,0.00175,0.0401,4.10E-05,0.000911,0.0162,0.00245,,0.413,0.557,0.566,0.715,0.516,0.0988,0.339,0.0139,0.00205,0.0414,0.00902,0.00765,0.834,0.00872,0.609,0.101,0.597,0.0702,0.00206,0.102,0.0152,0.0519
1993,0.994,0.00284,1.241,0.000133,1.048,0.000863,0.979,0.000337,1.16,0.000109,1.071,0.00343,0.826,0.000222,1.13,0.0101,0.48,0.000144,0.15,0.00208,1.5,0.000448,0.76,0.00195,0.00174,0.0197,0.736,0.00559,1.076,0.00313,1.377,0.733,0.00865,0.779,0.832,0.00786,0.95620438,0.000561,0.00773,0.654,0.842,0.00613,0.932,0.774,0.0107,1.177,0.828,0.00114,0.305,,0.000446,0.109,0.00186,0.925,0.94,0.00199,0.55,0.0131,1.036,0.00628,0.829,0.00192,0.00929,0.00296,0.0189,0.03,0.042,0.000335,0.0155,0.00123,0.0542,0.000815,0.00344,0.0256,0.0527,0.0278,0.128,,0.0255,0.000444,0.0563,0.799,0.000416,1.054,0.0045,0.00192,0.046,3.30E-05,0.00133,0.0176,0.00608,,0.951,1.265,0.344,0.431,0.333,0.0632,0.307,0.0125,0.00338,0.0473,0.0168,0.00865,0.835,0.0136,0.518,0.0997,0.572,0.0572,0.00752,0.0959,0.0234,0.054
1994,0.986,0.0021,1.171,0.000197,0.988,0.00165,0.979,0.000491,1.12,6.10E-05,1.034,0.00376,0.809,0.00032,1.56,0.00686,0.28,0.000124,0.29,0.00143,0.99,0.000281,1.98,0.00147,0.00116,0.0192,0.611,0.00436,1.215,0.0032,1.248,0.76,0.0111,0.4,0.774,0.00814,0.99026764,0.000573,0.00387,1.007,0.77,0.00511,0.925,0.769,0.00953,1.267,0.825,0.00157,0.405,,0.000367,1.09,0.0017,0.935,0.78,0.00066,0.589,0.0126,0.972,0.00581,0.814,0.00135,0.0112,0.00277,0.0229,0.037,0.0356,0.000472,0.0102,0.00125,0.0569,0.000544,0.00199,0.0229,0.0636,0.0345,0.0603,,0.0236,0.000478,0.0507,0.773,0.000568,0.951,0.00406,0.00226,0.0431,6.30E-05,0.0013,0.017,0.0059,,0.867,1.296,0.796,1.072,0.207,0.0424,0.211,0.00924,0.00355,0.0435,0.0171,0.00706,0.814,0.0144,0.537,0.0984,0.495,0.0673,0.00261,0.078,0.019,0.0447
1995,0.982,0.00252,1.119,0.000197,0.902,0.00211,0.979,0.000401,1.08,0.000142,0.972,0.00782,0.779,0.000298,0.83,0.0051,0.59,8.50E-05,0.23,0.00167,0.92,0.000262,0.75,0.00207,0.000779,0.0204,0.569,0.0029,1.275,0.00243,1.643,0.773,0.0112,0.867,0.628,0.0053,0.644768856,0.000393,0.0121,1.426,0.742,0.00588,0.956,0.786,0.00924,1.422,0.807,0.00124,0.458,,0.000346,0.981,0.00152,1.29,0.867,0.000457,0.598,0.0119,0.854,0.00585,0.832,0.00138,0.0113,0.00256,0.015,0.0304,0.0479,0.000331,0.0155,0.00125,0.0694,0.00041,0.00334,0.0239,0.0539,0.0274,0.0455,,0.0371,0.000336,0.0523,0.735,0.000693,0.859,0.00433,0.00243,0.0426,3.70E-05,0.00153,0.00929,0.00348,,0.611,0.688,0.683,0.766,0.384,0.0647,0.11,0.00396,0.00782,0.0333,0.00805,0.00446,0.962,0.0203,0.561,0.113,0.668,0.0721,0.000554,0.0797,0.0151,0.0394
1996,0.974,0.00226,1.049,0.000234,0.838,0.00163,0.979,0.000635,1.04,0.00014,0.92,0.00404,0.765,0.000259,1.43,0.00686,0.41,7.20E-05,0.38,0.00145,1.42,0.000281,1.43,0.00289,0.00128,0.0158,0.599,0.00401,1.437,0.00356,0.933,0.803,0.00936,0.916,0.656,0.00405,0.49270073,0.000285,0.0113,0.991,0.883,0.00526,0.526,0.809,0.00814,1.016,0.812,0.000788,0.487,,0.00027,1.199,0.00148,0.9,1.06,0.00041,0.631,0.0127,0.766,0.0037,0.845,0.00122,0.00909,0.00232,0.0139,0.0289,0.041,0.000281,0.0109,0.00144,0.0554,0.000774,0.00171,0.0183,0.0487,0.0264,0.132,,0.0347,0.000335,0.0475,0.685,0.000308,0.773,0.00239,0.00193,0.0325,5.00E-06,0.00125,0.0104,0.00514,1.471,1.001,0.742,0.55,0.687,0.535,0.101,0.274,0.0111,0.00282,0.0256,0.0254,0.00884,1.015,0.0279,0.693,0.109,0.612,0.0525,,0.0914,0.0221,0.051
1997,0.97,0.00212,0.979,0.000194,0.783,0.000879,0.985,0.000719,0.99,7.50E-05,0.891,0.00279,0.756,0.00026,1.12,0.00776,0.65,5.40E-05,0.22,0.00174,1.14,0.000294,0.95,0.00245,0.00119,0.0274,0.513,0.00289,1.505,0.00444,1.03,0.859,0.00999,0.734,0.723,0.00417,0.50729927,0.000494,0.00912,1.35,0.993,0.00598,1.706,0.85,0.00915,0.932,0.832,0.00106,0.508,,0.000442,2.071,0.00175,0.977,1.134,0.000801,0.658,0.0149,0.722,0.00463,0.868,0.000943,0.00836,0.00233,0.017,0.0306,0.0429,0.000376,0.0124,0.00125,0.0359,0.000823,0.00164,0.0206,0.0486,0.0298,0.109,,0.036,0.000228,0.0555,0.719,0.000493,0.756,0.00213,0.00241,0.0429,1.40E-05,0.000905,0.0124,0.019,0.59,0.922,0.665,1.022,1.256,0.334,0.062,0.318,0.0127,0.00269,0.029,0.012,0.00637,0.773,0.0183,0.628,0.097,0.547,0.0572,0.00306,0.0939,0.0155,0.0596
1998,0.966,0.00287,0.909,0.000142,0.745,0.00103,0.985,0.00043,0.95,0.000145,0.863,0.0049,0.759,0.000214,1.27,0.00567,0.39,4.30E-05,1.34,0.00221,0.69,0.000168,0.71,0.00204,0.000622,0.0145,0.513,0.00235,1.247,0.00253,1.35,0.891,0.00938,1.382,0.742,0.0038,0.462287105,0.000264,0.0203,1.947,1.028,0.00796,0.439,0.918,0.00782,1.054,0.839,0.001,0.572,,0.000424,,0.00146,0.64,0.923,0.000372,0.711,0.0136,0.669,0.00324,0.88,0.00108,0.00994,0.00242,0.0148,0.0258,0.0333,0.000291,0.00611,0.00116,0.0303,0.000499,0.00125,0.0163,0.0369,0.0269,0.102,,0.0233,0.000209,0.042,0.713,0.000435,0.758,0.00206,0.00303,0.0377,1.00E-05,0.00121,0.0114,0.00503,0.89,0.747,0.455,0.947,1.046,0.648,0.107,0.222,0.0079,0.00436,0.0259,0.0104,0.00569,0.795,0.0247,0.514,0.116,0.657,0.0803,0.00154,0.099,0.0153,0.0603
1999,0.962,0.00263,0.822,0.000194,0.707,0.000783,0.991,0.000442,0.91,5.90E-05,0.842,0.00208,0.77,0.000123,1.2,0.00802,1.32,0.000116,0.5,0.00169,1.76,0.000487,0.7,0.00187,0.00194,0.0135,0.598,0.00249,1.168,0.00297,1.185,0.911,0.00847,0.902,0.893,0.00541,0.658150852,0.000359,0.0156,1.145,1.277,0.00777,0.434,0.976,0.0122,1.172,0.85,0.00143,0.742,,0.00065,,0.00125,1.102,0.809,0.000337,0.754,0.0133,0.631,0.00433,0.882,0.00105,0.00892,0.00204,0.0218,0.0354,0.0408,0.000384,0.0137,0.00156,0.0279,0.000251,0.00221,0.0182,0.0413,0.0306,0.0512,,0.026,0.000186,0.0413,0.74,0.000548,0.783,0.00203,0.0021,0.0322,7.00E-06,0.000887,0.0111,0.00757,0.53,1.219,0.989,0.794,1.045,0.763,0.153,0.479,0.0205,0.00509,0.0317,0.0158,0.00572,0.72,0.0116,0.676,0.119,0.606,0.0804,0.00316,0.101,0.0121,0.0466
2000,0.958,0.00332,0.752,0.000138,0.669,0.00124,0.991,0.00043,0.88,4.80E-05,0.843,0.00703,0.773,0.000312,1.04,0.00639,1.34,0.000106,0.28,0.000599,1.43,0.000316,1.16,0.00204,0.00257,0.0116,0.68,0.00301,1.103,0.00263,1.257,0.942,0.0101,1.043,0.905,0.00594,0.722627737,0.000356,0.00734,1.106,1.416,0.0103,3.545,0.925,0.0115,0.936,0.848,0.0016,1.014,,0.000583,,0.00104,1.098,0.827,0.000142,0.799,0.0145,0.638,0.00291,0.913,0.000812,0.0108,0.00255,0.0137,0.0382,0.0214,0.000429,0.00379,0.00181,0.0348,0.000404,0.00133,0.0178,0.0451,0.0333,0.0366,,0.039,0.000138,0.0357,0.762,0.000702,0.827,0.00168,0.00345,0.0361,2.00E-06,0.00108,0.0107,0.00369,0.84,1.042,0.563,1.217,1.241,0.413,0.063,0.405,0.0132,0.00851,0.0287,0.00223,0.0042,0.75,0.0106,0.69,0.142,0.682,0.103,,0.101,0.00714,0.0378
2001,0.958,0.00219,0.682,0.000126,0.645,0.00144,0.997,0.000506,0.86,4.20E-05,0.823,0.0067,0.78,0.000234,0.72,0.00542,0.95,4.80E-05,0.31,0.000962,0.49,0.000117,1.28,0.00161,0.00205,0.013,0.832,0.00326,1.004,0.00262,1.9,0.957,0.0101,0.994,0.939,0.00845,1.027980535,0.000285,0.00948,1.755,1.277,0.0104,0.44,1.007,0.0105,0.88,0.836,0.00114,1.181,,0.000585,,0.0013,0.782,1.116,0.000276,0.778,0.0147,0.687,0.00458,0.966,0.000749,0.0094,0.00286,0.0137,0.0325,0.0283,0.000292,0.0101,0.00211,0.0409,0.000384,0.00175,0.0197,0.0433,0.031,0.0959,,0.0352,0.000206,0.0639,0.763,0.000709,0.88,0.00202,0.00277,0.0328,1.40E-05,0.000865,0.012,0.00825,0.75,0.837,0.418,1.131,1.092,1.132,0.163,0.385,0.0119,0.00399,0.028,0.00994,0.00692,0.756,0.0138,0.698,0.13,0.628,0.0781,0.00989,0.0798,0.0151,0.0395
