Title,SB_compos,SB_MRIP,SB_CTLIST,SB_MDSSN,AM_lowM_U.nad.ob,AM_lowM_U.mad.ob,AM_lowM_U.sad.ob,AM_lowM_U.jai.ob,SDF_NEFSC_Spring_BTS,BF_MRIP_CPUE,BF_NC_PSIGNS,BF_CompYOY,BF_NEFSC_A,WF_MRIP_CPUE,WF_DE_30ft_Trawl,WF_Composite_YOY,WF_NJ_Ocean_Trawl,WF_NC_PSIGNS,AH_Shrimp,AH_FallAlb85,AH_FallBig,Anchovy _SDM,ZP NEFSC biovolume,SB_stanza1_biomass_mtkm2,SB_stanza2_biomass_mtkm2,SB_stanza3_biomass_mtkm2,AM_lowM_stanza1_biomass_mtkm2,AM_lowM_stanza2_biomass_mtkm2,SDF_stanza1_biomass_mtkm2,BF_stanza1_biomass_mtkm2,BF_stanza2_biomass_mtkm2,WF_stanza1_biomass_mtkm2,WF_stanza2_biomass_mtkm2,AH_stanza1_biomass_mtkm2,AH_stanza2_biomass_mtkm2,SB_rel_effort,AM_rel_effort,SDF_rel_effort,BF_rel_effort,WF_rel_effort,AH_rel_effort,SB_stanza1_landings_mtkm2,SB_stanza2_landings_mtkm2,SB_stanza3_landings_mtkm2,AM_stanza1_landings_mtkm2,AM_stanza2_landings_mtkm2,SDF_stanza1_landings_mtkm2,BF_stanza1_landings_mtkm2,BF_stanza2_landings_mtkm2,WF_stanza1_landings_mtkm2,WF_stanza2_landings_mtkm2,AH_stanza1_landings_mtkm2,AH_stanza2_landings_mtkm2
1992,59.68,1.847,0.22,6.29,0.92,1.34,0.92,0.52,3.96846,0.149,,0.73,17.486,0.168,91.01,28.5,1.25,1.12,8.96,63.487,,0.779058937,28.39258,0.024937555,0.130327882,0.133612798,1.693163039,4.19328839,1.737570832,0.003782011,0.155384186,0.005208147,0.016757432,0.109682118,1.34705588,1.697930613,0.585895651,2.105112343,1.217348785,1.010982773,0.197753942,9.26E-05,0.009913817,0.004525615,0.008187662,0.76581576,0.118775421,0.000224661,0.05387763,0.000686085,0.014519091,0.000407358,0.282674286
1993,99.95,1.7356,0.273,6.25,0.77,0.55,0.57,0.2,3.08994,0.111,,0.558,1.874,0.264,169.8,19.3,0.85,10.36,13.53,18.895,,0.647064815,22.51999,0.018023214,0.133595628,0.150056124,2.258642857,4.028426168,1.737877492,0.009632671,0.133015837,0.004658916,0.014028936,0.102187751,1.272382016,1.569203365,0.644415108,1.395475225,1.078294901,0.702408211,0.183391938,0.000163066,0.009029406,0.004261559,0.011165651,0.809986561,0.078749911,0.000630167,0.039150403,0.000361262,0.008641226,0.000536416,0.245316198
1994,277.55,2.5128,0.296,5.13,0.5,1.46,0.36,0.32,4.63454,0.114,,0.567,12.379,0.391,243.4,129.1,1.51,4.52,20.77,15.35,,0.881505565,25.13234,0.068878316,0.148559461,0.169681995,1.466219048,4.093569478,1.76439227,0.006355389,0.141347257,0.002612205,0.024028608,0.116029777,1.100644411,2.00140769,0.525379003,1.09641118,1.300533735,0.489973126,0.168750567,8.41E-05,0.013918294,0.006626928,0.006794472,0.669168346,0.062817028,0.000513936,0.049899452,0.000294735,0.008912895,0.000670355,0.194220807
1995,162.84,3.5704,0.594,4.62,1.15,1.38,0.18,0.26,2.5746,0.095,,0.563,9.317,0.609,224.18,341,1.19,1.67,75.47,78.437,,1.377702003,19.85948,0.091849597,0.164628083,0.185937252,0.841014286,4.381772109,1.787065104,0.011668937,0.136005155,0.003024525,0.023476948,0.381027059,0.975725425,3.158576437,0.628572021,1.322625466,0.969468542,0.518476165,0.282913095,0.000412067,0.020889866,0.014882845,0.004609619,0.858365654,0.076751352,0.000594358,0.037062233,0.000337303,0.00939964,0.010174537,0.272054498
1996,106.45,4.0266,0.635,7.59,0.59,0.54,0.28,0.25,4.91357,0.083,,0.92,10.861,0.706,603.39,24.3,1.96,3.51,40.23,42.185,,0.951759616,24.51297,0.069420784,0.203815598,0.209350012,0.590130839,3.925211565,1.784591483,0.0075278,0.131322628,0.002683571,0.02737541,0.170663818,1.232854372,3.396362323,0.605961481,1.808586609,1.109534283,0.733783964,0.234988741,0.000275401,0.030353355,0.015584735,0.002776821,0.743477614,0.104806185,0.000570975,0.038651141,0.000638423,0.013320232,0.001690651,0.300649494
1997,344.59,4.5008,0.855,3.83,0.32,0.54,0.24,0.28,2.99184,0.111,,1.268,5.695,0.661,149.87,18.4,1.92,2.91,16,41.441,,0.941714688,28.09462,0.052575081,0.247365257,0.203716759,0.932952381,3.246925896,1.790207835,0.004680133,0.126132836,0.001663191,0.036138922,0.062752809,1.288270625,3.210911693,0.66743621,0.929109653,1.351627955,1.135337034,0.276481444,0.000869889,0.030493928,0.01529962,0.006032118,0.673894211,0.054010626,0.0003897,0.046375657,0.001115843,0.016263677,0.002892854,0.325263613
1998,132.92,4.7185,0.972,4.79,0.6,0.78,0.85,0.5,2.23404,0.085,,0.647,10.516,0.555,161.8,2,1.12,4.58,45.99,23.194,,1.132548358,25.25163,0.091418821,0.231641935,0.177484865,3.021657596,2.829523991,1.81119226,0.007639765,0.124110545,0.001661091,0.027611672,0.096360196,1.167193689,3.086738762,0.712720013,1.048431785,1.264781458,0.896434402,0.235477878,0.00077297,0.026653512,0.014747705,0.024574671,0.621925603,0.061661419,0.000427689,0.045422433,0.000461936,0.016759529,0.000235882,0.293959129
1999,183.28,4.6357,1.105,4.02,0.78,0.6,0.27,0.56,2.82115,0.129,,1.193,24.57,0.409,225.93,35.2,1.28,5.03,41.08,15.151,,0.806503251,28.04881,0.174460054,0.23294978,0.171672045,1.689704535,3.647143537,1.812810674,0.009058839,0.119230901,0.001673648,0.025427411,0.231371767,1.072733096,3.174454544,0.409439883,0.865721189,1.072756748,1.157381092,0.262159357,0.000377269,0.02589166,0.017025274,0.00905254,0.458989966,0.050961158,0.000780257,0.032403237,0.000883539,0.015632512,0.002177447,0.293609367
2000,93.81,4.2132,0.84,3.54,0.48,0.83,0.84,0.43,1.92938,0.112,,0.587,4.591,0.466,412.97,43.9,1.3,7.71,8.26,23.215,,1.503880221,27.61688,0.106797573,0.193958703,0.212566506,0.807366893,3.966369751,1.820755705,0.008122209,0.122452528,0.001020351,0.018503036,0.07758624,1.221792412,3.492604368,0.366525396,0.597280529,1.071140615,0.82428899,0.22797121,0.000827982,0.026123715,0.019415464,0.002467912,0.453741059,0.035313343,0.000336134,0.038692208,4.24E-05,0.014290293,0.000886895,0.286829657
2001,226.07,3.4515,0.607,2.87,0.8,0.95,0.93,0.37,1.58606,0.169,5.284,1.601,17.549,0.327,166.44,39.4,0.97,6.54,24.28,28.417,,0.86819351,36.68826,0.054081925,0.185164599,0.219136548,2.238906122,3.62403,1.820290719,0.006999248,0.123554837,0.001880675,0.021746869,0.099941677,1.116387054,3.819186887,0.532898404,0.483237995,1.34409718,0.551966972,0.274014826,0.000562559,0.02422881,0.025066128,0.010128286,0.601495208,0.028563447,0.000386898,0.048575633,0.000109674,0.010583108,0.000563968,0.324057317
2002,227.41,3.1336,1.304,4.1,1.59,0.46,1,0.53,2.70153,0.101,4.296,0.697,18.566,0.256,149.98,114.9,0.92,4.65,30.22,86.831,,1.026058761,25.97426,0.038512957,0.158081687,0.247558731,1.727752834,3.979411746,1.812684618,0.009371717,0.116628773,0.00203313,0.014123667,0.185260729,0.901689526,4.326250735,0.383940569,0.474303647,0.962310079,0.701592452,0.270412301,0.000675558,0.023284846,0.030880737,0.006776762,0.473757919,0.027918205,0.000384442,0.032659718,5.56E-05,0.009397032,0.005978401,0.234218878
2003,69.54,2.8971,0.871,4.5,0.3,1.05,0.86,0.86,2.58677,0.111,4.788,0.66,35.721,0.143,168.3,73.5,1.24,5.43,48.3,38.582,,0.499500601,41.50901,0.040433744,0.130504213,0.271124251,1.729711338,3.922568231,1.799034762,0.010024765,0.12554594,0.002556768,0.011048068,0.219487749,0.863486583,5.034731853,0.369179486,0.281342336,1.076236071,0.488236574,0.281918021,0.001603784,0.020537552,0.037948019,0.007209644,0.447263827,0.01643552,0.000371969,0.040420358,4.20E-05,0.005144064,0.002010339,0.254980586
2004,316.32,2.0226,0.556,6.05,0.39,0.52,0.47,0.65,1.45984,0.117,5.201,0.712,10.617,0.237,109.63,139.1,1.06,2.97,30.63,45.726,,0.699095245,42.4916,0.073109096,0.152546703,0.252031158,0.769107483,3.584949161,1.782111723,0.006562713,0.128114014,0.001322163,0.009517461,0.106242693,0.877709989,4.427966344,0.434805859,0.364534735,1.391933373,0.481215396,0.296802021,0.000601556,0.021102244,0.037760705,0.003101528,0.484835041,0.021095151,0.00042098,0.051276326,9.44E-05,0.003842522,0.001252413,0.270981147
2005,173.26,2.5145,1.172,4.96,1.12,1.31,1.56,0.74,2.45843,0.115,6.379,1.445,35.655,0.218,45.01,17.9,1.57,15.49,33.95,29.245,,0.462989426,25.57707,0.069459039,0.14293071,0.237378921,1.882014059,2.849764014,1.756468437,0.022400915,0.143522938,0.0017993,0.006711036,0.072186413,0.810910558,5.425058068,0.481227663,0.31767061,1.055246934,0.640177197,0.284782162,0.001485048,0.022297914,0.044091237,0.002107428,0.434709592,0.018118663,0.001217471,0.042728219,4.84E-05,0.004061249,0.000241603,0.246676764
2006,146.44,2.781,0.612,4.92,1,0.45,3.31,0.28,4.03005,0.118,6.067,0.999,25.358,0.17,163.67,7.6,0.62,9.13,25.51,31.629,,0.689641466,31.44382,0.038015083,0.177213495,0.223452267,2.113576871,3.481162653,1.73090278,0.012550047,0.156415235,0.001226436,0.006446762,0.147868675,0.731432583,5.396463077,0.381980789,0.396922504,1.269415533,0.563715412,0.393258318,0.000723131,0.028098889,0.041032876,0.001790311,0.421877376,0.022309364,0.000907997,0.054927023,3.35E-05,0.003411878,0.010975567,0.256341893
2007,120.16,1.8844,1.02,2.14,1.33,0.87,0.46,0.49,2.34475,0.131,8.45,0.984,14.912,0.078,90.77,49.5,1.39,15.28,24.59,25.763,,1.14885756,29.42925,0.025802284,0.156543502,0.214478174,1.515182993,4.022402653,1.697802001,0.014326584,0.16234648,0.002515031,0.0063179,0.043172749,0.745808423,4.901192189,0.387022157,0.524551058,1.110873907,0.457960865,0.336141916,0.000412601,0.024151479,0.033842864,0.001255678,0.493877712,0.028919022,0.000682228,0.052437615,6.61E-05,0.002690661,0.00080981,0.256745737
2008,167.73,1.7568,0.568,4.37,1.2,0.39,0.68,0.32,3.15586,0.127,6.716,1.062,13.237,0.094,73.78,61.5,0.8,10.88,9.61,25.647,,1.364420361,26.39314,0.030087768,0.153380404,0.231746127,2.506521542,3.607455896,1.677691861,0.021175973,0.193631649,0.001772009,0.003871138,0.099099945,0.622330316,5.575314785,0.374325424,0.461774137,0.969397736,0.55688247,0.333591612,0.000228436,0.023939134,0.04855441,0.001516272,0.429275819,0.025156521,0.000898431,0.054408685,7.82E-05,0.0019576,0.002787367,0.206693349
2009,95.5,1.6245,0.598,5.7,0.41,0.9,1.6,0.29,3.60427,0.106,6.332,0.927,,0.042,94.01,69.1,1,12.1,5.9,,116.286,1.241171794,29.42569,0.039741968,0.150624106,0.223576035,2.202099093,3.511920454,1.667835183,0.011969773,0.208463762,0.001813027,0.002360691,0.429422857,0.530721125,5.423037696,0.372500776,0.547681184,0.93998622,0.455913808,0.427260576,0.000652695,0.025318292,0.039903728,0.002057109,0.414727383,0.02966127,0.000342278,0.059414232,2.47E-05,0.001030426,0.000598295,0.24414092
2010,125.07,1.4769,0.397,4.53,0.81,0.97,0.9,0.47,2.87538,0.132,5.694,0.988,,0.09,123.38,27.3,1.11,15.58,19.89,,57.576,1.046879715,21.64329,0.02822269,0.114271581,0.242799224,4.113589569,3.540835351,1.677426951,0.011479825,0.177059307,0.001637921,0.002766703,0.076180401,0.805991513,5.509547535,0.454343617,0.41190693,1.262882414,0.242648798,0.209864746,0.000156393,0.026267286,0.032383103,0.004605032,0.50987263,0.022436314,0.000661316,0.064400935,4.54E-05,0.00058613,,0.182668936
2011,118.87,1.1607,0.476,4.58,0.83,0.65,1.29,0.33,3.97743,0.139,5.977,0.847,,0.08,255.25,106.2,0.81,10.84,23.59,,77.072,1.556076143,25.24336,0.036141279,0.096589187,0.223193081,3.727437642,4.838527324,1.700906397,0.00970315,0.157158175,0.00222953,0.003119835,0.074862605,0.775777412,5.605900897,0.334893953,0.624661735,0.880557253,0.137168203,0.255902977,0.000491437,0.020775154,0.032708179,0.003296703,0.513436075,0.034501191,0.000668054,0.035349388,3.63E-05,0.000371676,0.001919274,0.194502494
2012,355.95,1.19,0.433,2.65,1.7,0.59,1.32,0.17,7.24956,0.127,4.058,0.714,,0.123,96.69,109.6,0.51,13.39,22.7,,70.908,1.881793812,23.1076,0.029442508,0.089611438,0.21003707,2.336437642,4.775923401,1.718801981,0.008552067,0.134685332,0.001242966,0.004312026,0.266025842,0.725338324,5.782080976,0.337198338,0.654542974,0.926700709,0.293233386,0.256157429,0.00083408,0.018270929,0.032514776,0.00148946,0.511694435,0.036531946,0.000716061,0.030363882,4.29E-05,0.001099612,0.001015601,0.19788235
2013,38.97,2.1432,0.674,4.42,0.58,0.91,1.09,0.2,7.94331,0.14,5.719,1.213,,0.074,73.13,46.8,1,6.02,8.97,,74.457,0.901398694,25.14572,0.030965109,0.095774886,0.18532973,2.342988662,4.228144898,1.689353446,0.013879784,0.125077522,0.001886521,0.00222813,0.043414176,0.870559377,6.724397262,0.28422594,0.546569118,0.856379652,0.343927888,0.296163104,0.000844394,0.02527596,0.029452498,0.0014014,0.381559395,0.029982953,0.001089179,0.025920981,1.64E-05,0.000737205,0.002544586,0.227410063
2014,144.69,1.631,0.408,5.57,1.44,1.6,1.15,0.43,,0.149,4.8,1.357,,0.085,44.62,79.3,1.43,7.33,8.79,,87.328,0.914215557,22.02239,0.083638938,0.099832524,0.162021971,2.260115646,3.909658549,1.689136945,0.011030778,0.108637922,0.001194649,0.002222324,0.043404744,0.794349314,4.850833113,0.317171282,0.754167324,0.804054577,0.242594706,0.264874903,0.00015952,0.020628922,0.01881867,0.001642361,0.393436147,0.041365794,0.000864954,0.020624019,1.50E-05,0.000504423,0.000741198,0.213655628
2015,153.27,1.5937,0.197,7.34,1.59,1.89,1.81,0.31,2.64119,0.129,2.768,0.599,,0.098,99.56,56.2,0.88,35.71,37.4094,,75.392,0.737388886,27.47681,0.035631789,0.105547377,0.13922195,3.029668934,3.631942336,1.669615068,0.016357831,0.093654754,0.00289797,0.002640505,0.020610236,0.669614816,5.414427052,0.37358267,0.516525894,1.35375567,0.444855031,0.259284279,0.000465491,0.01711561,0.026061138,0.002650454,0.430249751,0.028003817,0.0010205,0.036456407,0.000206132,0.000971925,9.63E-05,0.184368528
2016,201.65,1.5872,0.482,3.96,1.17,0.57,0.56,0.61,4.7764,0.151,4.164,0.455,,0.174,179.94,75.3,1.16,10.38,5.3512,,347.158,1.146827538,31.03371,0.052050417,0.098312668,0.137135922,1.105637868,3.851538571,1.653982118,0.005972646,0.092027253,0.002092477,0.00322252,0.011000627,0.467817295,6.658651002,0.347881994,0.687724626,0.879719585,0.261883885,0.307768808,0.000675115,0.023077377,0.027151966,0.000833663,0.425292861,0.036936367,0.00049566,0.019372672,7.12E-05,0.000723604,0.000100529,0.151212405
2017,100.05,2.9332,0.34,5.46,0.58,0.45,1.21,0.15,2.93831,0.109,3.606,0.813,,0.091,159.93,66.2,0.67,7.48,3.4061,,77.789,1.44489075,22.01784,0.053252488,0.102621038,0.129546369,1.344653061,3.452032268,1.63756039,0.006731853,0.077713888,0.002554329,0.003543242,0.033006673,0.294830122,6.760919549,0.36557861,0.528907707,1.782703732,0.356201559,0.37219344,0.000634065,0.028054396,0.02166767,0.000834753,0.401160243,0.028124578,0.000704416,0.03808908,1.69E-04,0.001012003,0.000380635,0.115104628
2018,147.94,2.3585,0.569,5.23,0.34,1.22,1.14,0.28,3.97543,0.111,4.036,0.458,,0.191,160.95,291.1,0.72,14.39,0.659,,10.731,1.038294287,32.54253,0.047458626,0.113986947,0.138133451,3.176911565,2.947928753,1.620439797,0.015184119,0.071925124,0.004604828,0.003802938,0.020747329,0.197699335,4.133609179,0.465054404,0.424652811,0.462132863,0.247787025,0.628055432,0.000287685,0.016101342,0.017869782,0.002569991,0.43553233,0.02234476,0.000488579,0.008775091,0.000335292,0.000653463,0.000151784,0.132644134
2019,171.2,1.9735,0.91,4.09,1.83,1,0.84,0.23,5.76217,0.109,8.646,0.753,,0.498,278.29,7,0.64,11.61,1.494,,23.941,0.909735046,31.35713,0.051647014,0.124267777,0.130957641,1.882988435,3.944355215,1.622288619,0.006857642,0.08821312,0.003139403,0.005335088,0.027776874,0.15262037,3.554227071,0.381251163,0.519063866,0.449397595,0.32997903,0.274183174,0.000452227,0.016411024,0.012714016,0.001800475,0.476734536,0.027343727,0.000237278,0.010173693,0.000235072,0.001338658,0.000663975,0.041542374
2020,112.62,2.1897,,5.46,2.47,0.34,0.96,0.23,,0.077,,0.797,,0.502,100.27,,0.59,,,,,0.7097948,,0.071386896,0.134909568,0.127069687,2.074478685,3.316144603,1.625574171,0.012731729,0.085067154,0.003686312,0.005286609,0.035972319,0.18357267,3.012214533,0.399944721,0.544839503,0.400793457,0.255866041,0.183596691,0.00071025,0.018076627,0.007329777,0.001203828,0.421933697,0.028759688,0.000326289,0.009194705,0.00023219,0.00100252,,0.032009071
2021,127.08,1.8818,0.378,2.31,2.4,1.16,0.99,0.51,6.53179,0.062,4.951,0.754,,0.396,119.16,,0.53,9.27,1.857,,8.26,0.522454693,25.68886,0.032593101,0.13813525,0.143127365,2.23435805,3.241899819,1.637638093,0.011648164,0.089047899,0.003179294,0.007049673,0.0076436,0.188457583,2.969843633,0.43381665,0.362016472,0.475680177,0.348027673,0.109764492,0.000198984,0.020981864,0.005837925,0.001682366,0.446977176,0.019251078,0.000243985,0.012266677,0.00059796,0.001096464,,0.017834467
2022,81.78,2.26,0.923,2.71,2.28,1.6,0.42,0.67,4.02613,0.077,6.729,0.812,,0.549,63.42,237.4,0.96,13.82,2.919,,21.902,0.513745665,20.24919,0.020568175,0.130074676,0.177973472,2.364401361,3.154421519,1.649509017,0.015895031,0.101583453,0.003860749,0.009122338,0.011864085,0.20944053,4.809351551,0.45308003,0.301517237,0.329673802,0.189737282,0.100985239,0.000193361,0.027482607,0.018016351,0.002041376,0.453964084,0.016150114,0.000387886,0.00869404,0.000177974,0.001288371,,0.017834467
2023,97.59,2.23,0.319,4.48,0.92,0.51,0.6,0.43,,0.077,13.2,0.386,,0.353,89.81,,0.88,48.25,2.923,,15.385,0.584165558,36.18374,0.051317368,0.129753699,0.184285285,2.669678005,3.217340249,1.658897,0.029087,0.098487,0.00341478,0.009250769,0.036926342,0.210806206,3.731412645,0.40153721,0.39652647,0.385193289,0.205959861,0.126122837,0.00038482,0.02161087,0.013952412,0.002354891,0.409987136,0.021361,0.000699,0.017198,0.000144308,0.001490187,,0.02367347
